rank,gene,composite_score,de_component,epitope_component,safety_component,llm_component,log2fc_smm,padj_smm,pct_cells_smm_neoplastic,pct_cells_nbm_normal,pct_cells_neoplastic,pct_cells_normal,patient_prevalence,recurrence_frac,recurrence_n_samples,recurrence_smm_n,smm_coverage_n,smmh_coverage_n,smml_coverage_n,mm_coverage_n,mgus_coverage_n,mm_retained,n_strong_binders,n_alleles_with_binder,allele_coverage_frac,best_affinity_nM,tissue_tier,hpa_outlier_tissues,hpa_lymphoid_fdr,hpa_subcellular,localisation,significant_in_B,surface_or_secreted,novelty_confidence,mm_confidence,novelty_tier,existing_programs,llm_available,rationale
11,TBXAS1,0.47060596239975605,0.15796115476514008,0.86608807985107,1.0,0.0,1.6974881384013525,3.4507911283551517e-06,0.3949760161575359,0.0948756432246998,0.2708552770170634,0.1006937752938909,0.9565217391304348,0.6363636363636364,7,5,12,9,3,7,3,True,145,22,0.8148148148148148,12.057711006876676,1a_lymphoid,spleen,1.55877209751912e-08,"Endoplasmic reticulum, Cytosol",membrane,True,True,3.0,C,4_uncharacterised,none known,True,"SMM neoplastic vs healthy plasma cells log2FC=1.7 (padj=3.5e-06); expressed in 39% of SMM tumour cells vs 9% of healthy-donor plasma cells; shared by 96% of patients; enriched vs own normal PCs in 7/11 paired patients (5/5 SMM); expressed (>=5 CPM) in 12/12 SMM tumours (9/9 high-risk), 7/8 MM, 3/3 MGUS; 145 strong HLA-I binders on 22/27 alleles; novelty-confidence 3/10 (confidence C, 4_uncharacterised); tissue tier 1a_lymphoid (outlier in spleen); also up in within-patient paired contrast (log2FC=0.7)"
12,IFITM1,0.46367934749007844,0.04282071644536373,0.7958323294490135,0.49999999999999994,0.6666666666666666,1.6346804431183637,0.0452359882004181,0.2115627366826559,0.1149228130360205,0.4633452706972825,0.1212179610714974,1.0,0.7272727272727273,8,4,11,8,3,8,3,True,56,14,0.5185185185185185,13.436904384102034,2_restricted,epididymis,,"Golgi apparatus, Plasma membrane",membrane,True,True,7.0,B,3_literature,none known,True,"SMM neoplastic vs healthy plasma cells log2FC=1.6 (padj=4.5e-02); expressed in 21% of SMM tumour cells vs 11% of healthy-donor plasma cells; shared by 100% of patients; enriched vs own normal PCs in 8/11 paired patients (4/5 SMM); expressed (>=5 CPM) in 11/12 SMM tumours (8/9 high-risk), 8/8 MM, 3/3 MGUS; 56 strong HLA-I binders on 14/27 alleles; novelty-confidence 7/10 (confidence B, 3_literature); tissue tier 2_restricted (outlier in epididymis); also up in within-patient paired contrast (log2FC=0.8)"
13,HGF,0.4588853919946282,0.17435054839268088,0.3662344707174527,0.49999999999999994,0.8333333333333334,5.041452176330375,8.187088735493447e-06,0.1171421358242868,0.0058962264150943,0.1941752685906888,0.0087685488533436,0.8260869565217391,0.6363636363636364,7,3,7,4,3,7,1,True,106,23,0.8518518518518519,14.721586382361892,2_restricted,placenta,,,secreted,True,True,8.0,A,2_clinical_other,"Rilotumumab (AMG 102), an anti-HGF neutralising monoclonal antibody, was evaluated in relapsed/refractory multiple myeloma (phase 1/2, alone and with bortezomib); HGF/MET axis also targeted by ficlatuzumab and MET TKIs in other tumours. No HGF peptide vaccine in MM.",True,"SMM neoplastic vs healthy plasma cells log2FC=5.0 (padj=8.2e-06); expressed in 12% of SMM tumour cells vs 1% of healthy-donor plasma cells; shared by 83% of patients; enriched vs own normal PCs in 7/11 paired patients (3/5 SMM); expressed (>=5 CPM) in 7/12 SMM tumours (4/9 high-risk), 7/8 MM, 1/3 MGUS; 106 strong HLA-I binders on 23/27 alleles; novelty-confidence 8/10 (confidence A, 2_clinical_other); tissue tier 2_restricted (outlier in placenta); also up in within-patient paired contrast (log2FC=1.8)"
14,HERC5,0.4234477535207541,0.039560778691474445,0.8078975995665587,1.0,0.0,1.404713892415835,5.643131839200175e-08,0.1606917445089623,0.0540308747855917,0.1559932589003581,0.0573328194257082,0.9565217391304348,0.7272727272727273,8,4,12,9,3,8,2,True,224,26,0.9629629629629628,11.97965758230199,1b_testis_CT,testis,,,membrane,True,True,3.0,C,4_uncharacterised,none known,True,"SMM neoplastic vs healthy plasma cells log2FC=1.4 (padj=5.6e-08); expressed in 16% of SMM tumour cells vs 5% of healthy-donor plasma cells; shared by 96% of patients; enriched vs own normal PCs in 8/11 paired patients (4/5 SMM); expressed (>=5 CPM) in 12/12 SMM tumours (9/9 high-risk), 8/8 MM, 2/3 MGUS; 224 strong HLA-I binders on 26/27 alleles; novelty-confidence 3/10 (confidence C, 4_uncharacterised); tissue tier 1b_testis_CT (outlier in testis)"
15,HEY2,0.4095127793650992,0.07406353402072348,0.686468595794411,0.49999999999999994,0.5,2.3359122802829813,5.5618095885369416e-05,0.118530674072204,0.0174742710120068,0.1084369075205392,0.0206205434573135,0.8260869565217391,0.7272727272727273,8,4,9,7,2,5,2,True,77,22,0.8148148148148148,12.099587236977726,2_restricted,blood vessel,,Nuclear bodies,intracellular,True,False,6.0,B,4_uncharacterised,none known,True,"SMM neoplastic vs healthy plasma cells log2FC=2.3 (padj=5.6e-05); expressed in 12% of SMM tumour cells vs 2% of healthy-donor plasma cells; shared by 83% of patients; enriched vs own normal PCs in 8/11 paired patients (4/5 SMM); expressed (>=5 CPM) in 9/12 SMM tumours (7/9 high-risk), 5/8 MM, 2/3 MGUS; 77 strong HLA-I binders on 22/27 alleles; novelty-confidence 6/10 (confidence B, 4_uncharacterised); tissue tier 2_restricted (outlier in blood vessel); also up in within-patient paired contrast (log2FC=1.0)"
16,DNAJC1,0.3855617002672112,0.11124496203220481,0.5109410582877488,0.49999999999999994,0.5,0.863636720276728,0.0803544161861491,0.7351678868972482,0.4304245283018867,0.7293027175057931,0.4410291000192715,1.0,0.9090909090909092,10,4,12,9,3,8,3,True,103,22,0.8148148148148148,13.181449334599924,2_restricted,parathyroid gland,,Endoplasmic reticulum,membrane,False,True,6.0,B,4_uncharacterised,none known,True,"SMM neoplastic vs healthy plasma cells log2FC=0.9 (padj=8.0e-02); expressed in 74% of SMM tumour cells vs 43% of healthy-donor plasma cells; shared by 100% of patients; enriched vs own normal PCs in 10/11 paired patients (4/5 SMM); expressed (>=5 CPM) in 12/12 SMM tumours (9/9 high-risk), 8/8 MM, 3/3 MGUS; 103 strong HLA-I binders on 22/27 alleles; NOT significant in the SMM contrast (entered via A or C); novelty-confidence 6/10 (confidence B, 4_uncharacterised); tissue tier 2_restricted (outlier in parathyroid gland); also up in within-patient paired contrast (log2FC=0.7)"
17,DKK1,0.3799294385985481,0.08263012793621469,0.10903533442175208,0.49999999999999994,0.8333333333333334,2.549529286284388,0.0234711960378365,0.1109568290835647,0.0099699828473413,0.1335580366547293,0.0121410676430911,0.8260869565217391,0.7272727272727273,8,3,8,6,2,7,2,True,29,15,0.5555555555555556,16.781881767835,2_restricted,"cervix, placenta",,,secreted,True,True,8.0,A,2_clinical_other,"pUMVC3-hDKK1 DNA vaccine in smouldering myeloma (Mayo Clinic, NCT03591614); also anti-DKK1 mAb BHQ880 (Novartis) in MM phase 1b/2 trials, and DKN-01 in other solid tumours",True,"SMM neoplastic vs healthy plasma cells log2FC=2.5 (padj=2.3e-02); expressed in 11% of SMM tumour cells vs 1% of healthy-donor plasma cells; shared by 83% of patients; enriched vs own normal PCs in 8/11 paired patients (3/5 SMM); expressed (>=5 CPM) in 8/12 SMM tumours (6/9 high-risk), 7/8 MM, 2/3 MGUS; 29 strong HLA-I binders on 15/27 alleles; novelty-confidence 8/10 (confidence A, 2_clinical_other); tissue tier 2_restricted (outlier in cervix, placenta); also up in within-patient paired contrast (log2FC=1.7)"
18,RBMS1,0.3711854188922975,0.14481593918048563,0.38870318569075907,0.49999999999999994,0.5,1.5920496259742931,0.0001210694100447,0.2605402676091896,0.053066037735849,0.1943859279544975,0.0578146078242435,0.9565217391304348,0.9090909090909092,10,4,11,8,3,8,3,True,66,21,0.7777777777777778,11.850515230848869,2_restricted,placenta,,Cytosol,intracellular,True,False,6.0,B,4_uncharacterised,none known,True,"SMM neoplastic vs healthy plasma cells log2FC=1.6 (padj=1.2e-04); expressed in 26% of SMM tumour cells vs 5% of healthy-donor plasma cells; shared by 96% of patients; enriched vs own normal PCs in 10/11 paired patients (4/5 SMM); expressed (>=5 CPM) in 11/12 SMM tumours (8/9 high-risk), 8/8 MM, 3/3 MGUS; 66 strong HLA-I binders on 21/27 alleles; novelty-confidence 6/10 (confidence B, 4_uncharacterised); tissue tier 2_restricted (outlier in placenta); also up in within-patient paired contrast (log2FC=1.1)"
19,CPQ,0.34442102934421165,0.06473676448070559,1.0,0.49999999999999994,0.0,1.1345921669816776,0.0121737890801209,0.2562484221156274,0.1062392795883361,0.1908573836107015,0.1058970899980728,1.0,0.9090909090909092,10,5,12,9,3,7,3,True,137,23,0.8518518518518519,10.532254185026233,2_restricted,thyroid gland,,"Golgi apparatus, Vesicles",secreted,True,True,3.0,C,4_uncharacterised,none known,True,"SMM neoplastic vs healthy plasma cells log2FC=1.1 (padj=1.2e-02); expressed in 26% of SMM tumour cells vs 11% of healthy-donor plasma cells; shared by 100% of patients; enriched vs own normal PCs in 10/11 paired patients (5/5 SMM); expressed (>=5 CPM) in 12/12 SMM tumours (9/9 high-risk), 7/8 MM, 3/3 MGUS; 137 strong HLA-I binders on 23/27 alleles; novelty-confidence 3/10 (confidence C, 4_uncharacterised); tissue tier 2_restricted (outlier in thyroid gland); also up in within-patient paired contrast (log2FC=1.2)"
20,P2RX1,0.3427576874474948,0.2591333481171453,0.700088415061756,0.49999999999999994,0.0,1.8893575020641256,0.000120843850543,0.522595304216107,0.1000214408233276,0.2760690962713292,0.1137984197340528,1.0,0.6363636363636364,7,4,11,8,3,4,3,False,97,21,0.7777777777777778,14.554880468832904,2_restricted,blood vessel,,Endoplasmic reticulum,membrane,True,True,3.0,C,4_uncharacterised,none known,True,"SMM neoplastic vs healthy plasma cells log2FC=1.9 (padj=1.2e-04); expressed in 52% of SMM tumour cells vs 10% of healthy-donor plasma cells; shared by 100% of patients; enriched vs own normal PCs in 7/11 paired patients (4/5 SMM); expressed (>=5 CPM) in 11/12 SMM tumours (8/9 high-risk), 4/8 MM, 3/3 MGUS; NOT retained on progression to MM (durability risk); 97 strong HLA-I binders on 21/27 alleles; novelty-confidence 3/10 (confidence C, 4_uncharacterised); tissue tier 2_restricted (outlier in blood vessel)"
21,MX1,0.28897394912202023,0.005102614678824746,0.6038824902585307,0.49999999999999994,0.16666666666666666,0.7917441880978653,0.016410942385346,0.1861903559707144,0.078902229845626,0.2709606066989677,0.0880709192522644,1.0,0.5454545454545454,6,2,12,9,3,8,2,True,138,22,0.8148148148148148,11.392546687663415,2_restricted,salivary gland,,"Nuclear membrane, Cytosol",intracellular,True,False,4.0,C,3_literature,"none known - no vaccine, CAR, antibody or ADC program against MX1 in myeloma or any other indication that I am aware of; MX1 appears in myeloma literature only as a component of type I interferon-response gene signatures, not as a therapeutic target",True,"SMM neoplastic vs healthy plasma cells log2FC=0.8 (padj=1.6e-02); expressed in 19% of SMM tumour cells vs 8% of healthy-donor plasma cells; shared by 100% of patients; enriched vs own normal PCs in 6/11 paired patients (2/5 SMM); expressed (>=5 CPM) in 12/12 SMM tumours (9/9 high-risk), 8/8 MM, 2/3 MGUS; 138 strong HLA-I binders on 22/27 alleles; novelty-confidence 4/10 (confidence C, 3_literature); tissue tier 2_restricted (outlier in salivary gland)"
22,TJP1,0.25961524240466716,0.03983884830453786,0.4049846062331956,0.0,0.6666666666666666,1.8960196002042715,0.0151215588835524,0.1521080535218379,0.0250857632933104,0.1117021276595744,0.0272692233571015,0.8695652173913043,0.4545454545454545,5,3,7,5,2,4,2,True,261,24,0.8888888888888888,11.486363182788732,4_broad,,,Cell Junctions,intracellular,True,False,7.0,B,3_literature,none known,True,"SMM neoplastic vs healthy plasma cells log2FC=1.9 (padj=1.5e-02); expressed in 15% of SMM tumour cells vs 3% of healthy-donor plasma cells; shared by 87% of patients; enriched vs own normal PCs in 5/11 paired patients (3/5 SMM); expressed (>=5 CPM) in 7/12 SMM tumours (5/9 high-risk), 4/8 MM, 2/3 MGUS; 261 strong HLA-I binders on 24/27 alleles; novelty-confidence 7/10 (confidence B, 3_literature); tissue tier 4_broad (outlier in nan); also up in within-patient paired contrast (log2FC=0.6)"
23,MCC,0.24588039088421026,0.11720474244503745,0.42859484075349513,0.49999999999999994,0.0,2.937749512811906,2.6619171475967642e-09,0.1464276697803584,0.0126500857632933,0.0979039393301032,0.0151281557140104,1.0,0.6363636363636364,7,3,8,5,3,6,1,True,128,24,0.8888888888888888,13.80645503382218,2_restricted,ovary,,Nucleoplasm,intracellular,True,False,3.0,C,4_uncharacterised,none known,True,"SMM neoplastic vs healthy plasma cells log2FC=2.9 (padj=2.7e-09); expressed in 15% of SMM tumour cells vs 1% of healthy-donor plasma cells; shared by 100% of patients; enriched vs own normal PCs in 7/11 paired patients (3/5 SMM); expressed (>=5 CPM) in 8/12 SMM tumours (5/9 high-risk), 6/8 MM, 1/3 MGUS; 128 strong HLA-I binders on 24/27 alleles; novelty-confidence 3/10 (confidence C, 4_uncharacterised); tissue tier 2_restricted (outlier in ovary); also up in within-patient paired contrast (log2FC=1.5)"
24,PRR15,0.20783478448550746,0.27611594828502495,0.0,0.49999999999999994,0.0,6.446283450108639,5.441920354484112e-06,0.2000757384498863,0.0024656946826758,0.1455129555508742,0.005396030063596,0.782608695652174,0.5454545454545454,6,3,6,3,3,7,1,True,8,6,0.2222222222222222,36.03200875456016,2_restricted,"colon, small intestine",,Vesicles,intracellular,True,False,3.0,C,4_uncharacterised,none known,True,"SMM neoplastic vs healthy plasma cells log2FC=6.4 (padj=5.4e-06); expressed in 20% of SMM tumour cells vs 0% of healthy-donor plasma cells; shared by 78% of patients; enriched vs own normal PCs in 6/11 paired patients (3/5 SMM); expressed (>=5 CPM) in 6/12 SMM tumours (3/9 high-risk), 7/8 MM, 1/3 MGUS; 8 strong HLA-I binders on 6/27 alleles; novelty-confidence 3/10 (confidence C, 4_uncharacterised); tissue tier 2_restricted (outlier in colon, small intestine); also up in within-patient paired contrast (log2FC=1.3)"
25,C2orf76,0.19413112927247606,0.07345986471588474,0.23546584928855324,0.49999999999999994,0.0,1.159138255263978,0.005849853205181,0.2167381974248927,0.0695754716981132,0.1862755424478618,0.071690113702062,1.0,1.0,11,5,12,9,3,8,3,True,27,12,0.4444444444444444,18.075993247906275,2_restricted,epididymis,,Endoplasmic reticulum,intracellular,True,False,3.0,C,4_uncharacterised,none known,True,"SMM neoplastic vs healthy plasma cells log2FC=1.2 (padj=5.8e-03); expressed in 22% of SMM tumour cells vs 7% of healthy-donor plasma cells; shared by 100% of patients; enriched vs own normal PCs in 11/11 paired patients (5/5 SMM); expressed (>=5 CPM) in 12/12 SMM tumours (9/9 high-risk), 8/8 MM, 3/3 MGUS; 27 strong HLA-I binders on 12/27 alleles; novelty-confidence 3/10 (confidence C, 4_uncharacterised); tissue tier 2_restricted (outlier in epididymis); also up in within-patient paired contrast (log2FC=1.2)"
26,MFAP3L,0.19223403573255782,0.051735759156547295,0.8835665399279681,0.0,0.0,2.2538401248524944,0.0002360878415134,0.0833122948750315,0.0122212692967409,0.0804192121339793,0.0141645789169396,1.0,0.8181818181818182,9,4,6,3,3,8,2,True,113,22,0.8148148148148148,11.989379795843142,4_broad,,,Nucleoplasm,membrane,True,True,3.0,C,4_uncharacterised,none known,True,"SMM neoplastic vs healthy plasma cells log2FC=2.3 (padj=2.4e-04); expressed in 8% of SMM tumour cells vs 1% of healthy-donor plasma cells; shared by 100% of patients; enriched vs own normal PCs in 9/11 paired patients (4/5 SMM); expressed (>=5 CPM) in 6/12 SMM tumours (3/9 high-risk), 8/8 MM, 2/3 MGUS; 113 strong HLA-I binders on 22/27 alleles; novelty-confidence 3/10 (confidence C, 4_uncharacterised); tissue tier 4_broad (outlier in nan); also up in within-patient paired contrast (log2FC=1.8)"
